"ID","NAME","DESCRIPTION"
"S11","Non financial corporations","Non financial corporations"
"S121","Central bank","Central bank"
"S122","Deposit taking corporations, except the Central Bank","Deposit taking corporations, except the Central Bank"
"S123","Money market funds","Money market funds"
"S124","Non MMF investment funds","Non MMF investment funds"
"S125","Other financial intermediaries, except insurance corporations and pension funds","Other financial intermediaries, except insurance corporations and pension funds"
"S126","Financial auxiliaries","Financial auxiliaries"
"S127","Captive financial institutions and money lenders","Captive financial institutions and money lenders"
"S128","Insurance corporations","Insurance corporations"
"S129","Pension funds","Pension funds"
"S1311","Central government excluding social security","Central government excluding social security"
"S1312","State government excluding social security","State government excluding social security"
"S1313","Local government excluding social security","Local government excluding social security"
"S1314","Social security funds","Social security funds"
"S14","Households","Households"
"S15","Non profit institutions serving households","Non profit institutions serving households"
